合手轉身單腳抬起(站立式),向上90度抬起一腳，同時合手、上半身轉向屈腳側。左右交替共重複40下,https://www.youtube.com/watch?v=Hk5QsWFPh_k,3:13-4:33
抬膝向外向上(站立式),雙手抱拳，手肘抬起平行地面，抬膝向身體側邊展開，同時彎曲上身使手肘觸碰膝蓋後放下，接著同一腳向前抬起，微屈上半身使手腕觸碰膝蓋。左右分別重複20下,https://www.youtube.com/watch?v=Hk6QsWFPh_k,5:50-6:44
交替抬腿拍手,兩腳稍微離開地面，直直升起一腳和身體呈90度，伸兩手在腳後方互拍一下，放下腳時維持抬起勿觸碰地面。左右腳交替共10下,https://www.youtube.com/watch?v=ghwNOgmYsz0,1:22-1:41
上下抬腿+空心支撐,兩腳合併升起和身體呈90度，同時微微抬起上半身，雙手伸直靠近小腿脛骨，放下雙手雙腳但不觸碰地面(身體呈現船型)。重複動作15下,https://www.youtube.com/watch?v=ghwNOgmYsz1,2:32-3:18
側平板式抬腿,側躺，用手肘和腳尖撐起身體(側平板撐)，上方腳打開升起使身體呈大字型。重複抬腿，左右側各10下,https://www.youtube.com/watch?v=4Ct5PxoFy4M&t=229s,6:19-6:50
俄式扭轉,身體呈V字型坐姿，雙腳屈起離地，雙手抱拳將上半身交替轉向左右側。共重複20下,https://www.youtube.com/watch?v=4Ct5PxoFy4M&t=230s,5:50-6:26
